Province,Year,Week,StartDate,EndDate,Districts,Dengue,Dysentery,Encephalitis,Enteric Fever,Food Poisioning,Leptospirosis,Typhus Fever,Viral Hepatistis,Human Rabies,Chickenpox,Meningitis,Leishmaniasis
Nothern,2007,1,2006-12-30,2007-01-05,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,1,2006-12-30,2007-01-05,Batticaloa,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Eastern,2007,1,2006-12-30,2007-01-05,Ampara,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,1,2006-12-30,2007-01-05,Trincomalee,2,1,0,0,0,0,0,1,NA,NA,NA,NA
NorthWestern,2007,1,2006-12-30,2007-01-05,Kurunagala,11,13,0,1,0,2,1,0,NA,NA,NA,NA
NorthWestern,2007,1,2006-12-30,2007-01-05,Puttalam,13,4,4,5,0,1,0,3,NA,NA,NA,NA
NorthCentral,2007,1,2006-12-30,2007-01-05,Anuradhapura,0,3,1,1,0,3,0,2,NA,NA,NA,NA
NorthCentral,2007,1,2006-12-30,2007-01-05,Polonnaruwa,4,6,0,1,0,1,0,0,NA,NA,NA,NA
Uva,2007,1,2006-12-30,2007-01-05,Badulla,0,5,0,0,0,0,2,1,NA,NA,NA,NA
Uva,2007,1,2006-12-30,2007-01-05,Monaragala,0,11,0,3,0,4,3,0,NA,NA,NA,NA
Sabaragamuwa,2007,1,2006-12-30,2007-01-05,Ratnapura,5,14,0,5,0,0,2,0,NA,NA,NA,NA
Sabaragamuwa,2007,1,2006-12-30,2007-01-05,Kegalle,4,3,0,0,0,1,0,0,NA,NA,NA,NA
Eastern,2007,1,2006-12-30,2007-01-05,Kalmune,0,2,0,2,0,0,0,1,NA,NA,NA,NA
Western,2007,2,2007-01-06,2007-01-12,Colombo,43,4,0,2,0,4,1,0,NA,NA,NA,NA
Western,2007,2,2007-01-06,2007-01-12,Gampaha,13,0,0,1,0,0,0,1,NA,NA,NA,NA
Western,2007,2,2007-01-06,2007-01-12,Kalutara,7,3,1,1,0,6,0,0,NA,NA,NA,NA
Central,2007,2,2007-01-06,2007-01-12,Kandy,28,10,0,2,0,2,0,1,NA,NA,NA,NA
Central,2007,2,2007-01-06,2007-01-12,Matale,7,6,0,0,0,2,0,0,NA,NA,NA,NA
Central,2007,2,2007-01-06,2007-01-12,NuwaraEliya,2,5,0,0,0,0,0,5,NA,NA,NA,NA
Southern,2007,2,2007-01-06,2007-01-12,Galle,4,3,0,0,0,3,3,0,NA,NA,NA,NA
Southern,2007,2,2007-01-06,2007-01-12,Hambanthota,2,1,0,1,0,1,6,1,NA,NA,NA,NA
Southern,2007,2,2007-01-06,2007-01-12,Matara,8,7,0,1,0,6,5,1,NA,NA,NA,NA
Nothern,2007,2,2007-01-06,2007-01-12,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,2,2007-01-06,2007-01-12,Kilinochchi,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,2,2007-01-06,2007-01-12,Mannar,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,2,2007-01-06,2007-01-12,Vavuniya,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Nothern,2007,2,2007-01-06,2007-01-12,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,2,2007-01-06,2007-01-12,Batticaloa,0,2,0,0,0,0,0,3,NA,NA,NA,NA
Eastern,2007,2,2007-01-06,2007-01-12,Ampara,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,2,2007-01-06,2007-01-12,Trincomalee,1,1,0,0,0,0,0,0,NA,NA,NA,NA
NorthWestern,2007,2,2007-01-06,2007-01-12,Kurunagala,17,8,0,3,0,2,6,2,NA,NA,NA,NA
NorthWestern,2007,2,2007-01-06,2007-01-12,Puttalam,9,4,1,0,0,0,0,0,NA,NA,NA,NA
NorthCentral,2007,2,2007-01-06,2007-01-12,Anuradhapura,0,2,0,4,0,1,0,3,NA,NA,NA,NA
NorthCentral,2007,2,2007-01-06,2007-01-12,Polonnaruwa,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Uva,2007,2,2007-01-06,2007-01-12,Badulla,2,5,0,3,0,3,0,6,NA,NA,NA,NA
Uva,2007,2,2007-01-06,2007-01-12,Monaragala,1,4,0,2,0,1,1,0,NA,NA,NA,NA
Sabaragamuwa,2007,2,2007-01-06,2007-01-12,Ratnapura,3,7,0,3,0,1,0,2,NA,NA,NA,NA
Sabaragamuwa,2007,2,2007-01-06,2007-01-12,Kegalle,16,4,0,1,0,1,0,2,NA,NA,NA,NA
Eastern,2007,2,2007-01-06,2007-01-12,Kalmune,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Western,2007,3,2007-01-13,2007-01-19,Colombo,38,5,0,3,1,4,0,0,NA,NA,NA,NA
Western,2007,3,2007-01-13,2007-01-19,Gampaha,16,0,3,2,0,2,1,2,NA,NA,NA,NA
Western,2007,3,2007-01-13,2007-01-19,Kalutara,6,7,0,3,0,1,0,2,NA,NA,NA,NA
Central,2007,3,2007-01-13,2007-01-19,Kandy,14,2,0,2,1,4,5,2,NA,NA,NA,NA
Central,2007,3,2007-01-13,2007-01-19,Matale,7,6,0,0,0,2,1,3,NA,NA,NA,NA
Central,2007,3,2007-01-13,2007-01-19,NuwaraEliya,2,9,0,3,0,0,0,9,NA,NA,NA,NA
Southern,2007,3,2007-01-13,2007-01-19,Galle,4,4,1,1,0,3,1,3,NA,NA,NA,NA
Southern,2007,3,2007-01-13,2007-01-19,Hambanthota,1,0,0,0,0,2,3,1,NA,NA,NA,NA
Southern,2007,3,2007-01-13,2007-01-19,Matara,4,5,1,0,0,0,6,0,NA,NA,NA,NA
Nothern,2007,3,2007-01-13,2007-01-19,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,3,2007-01-13,2007-01-19,Kilinochchi,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Nothern,2007,3,2007-01-13,2007-01-19,Mannar,2,2,0,1,0,0,0,0,NA,NA,NA,NA
Nothern,2007,3,2007-01-13,2007-01-19,Vavuniya,0,2,0,0,3,2,0,1,NA,NA,NA,NA
Nothern,2007,3,2007-01-13,2007-01-19,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,3,2007-01-13,2007-01-19,Batticaloa,0,7,1,1,0,0,0,12,NA,NA,NA,NA
Eastern,2007,3,2007-01-13,2007-01-19,Ampara,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,3,2007-01-13,2007-01-19,Trincomalee,2,0,1,0,17,0,0,1,NA,NA,NA,NA
NorthWestern,2007,3,2007-01-13,2007-01-19,Kurunagala,10,8,0,1,0,0,1,1,NA,NA,NA,NA
NorthWestern,2007,3,2007-01-13,2007-01-19,Puttalam,11,3,1,3,0,1,0,1,NA,NA,NA,NA
NorthCentral,2007,3,2007-01-13,2007-01-19,Anuradhapura,0,4,1,1,0,1,2,2,NA,NA,NA,NA
NorthCentral,2007,3,2007-01-13,2007-01-19,Polonnaruwa,2,8,1,0,0,2,0,0,NA,NA,NA,NA
Uva,2007,3,2007-01-13,2007-01-19,Badulla,2,8,0,2,0,1,4,8,NA,NA,NA,NA
Uva,2007,3,2007-01-13,2007-01-19,Monaragala,1,2,0,0,0,1,1,0,NA,NA,NA,NA
Sabaragamuwa,2007,3,2007-01-13,2007-01-19,Ratnapura,2,2,0,0,1,0,0,3,NA,NA,NA,NA
Sabaragamuwa,2007,3,2007-01-13,2007-01-19,Kegalle,7,3,0,1,0,3,1,2,NA,NA,NA,NA
Eastern,2007,3,2007-01-13,2007-01-19,Kalmune,0,0,0,0,0,0,0,4,NA,NA,NA,NA
Western,2007,4,2007-01-20,2007-01-26,Colombo,52,3,2,1,0,1,0,3,NA,NA,NA,NA
Western,2007,4,2007-01-20,2007-01-26,Gampaha,12,4,1,1,0,1,4,4,NA,NA,NA,NA
Western,2007,4,2007-01-20,2007-01-26,Kalutara,15,8,0,2,0,3,0,2,NA,NA,NA,NA
Central,2007,4,2007-01-20,2007-01-26,Kandy,17,3,0,3,1,3,3,4,NA,NA,NA,NA
Central,2007,4,2007-01-20,2007-01-26,Matale,4,1,2,0,0,1,0,2,NA,NA,NA,NA
Central,2007,4,2007-01-20,2007-01-26,NuwaraEliya,3,2,0,6,0,0,2,11,NA,NA,NA,NA
Southern,2007,4,2007-01-20,2007-01-26,Galle,3,0,0,0,0,0,1,0,NA,NA,NA,NA
Southern,2007,4,2007-01-20,2007-01-26,Hambanthota,1,0,0,0,0,1,1,1,NA,NA,NA,NA
Southern,2007,4,2007-01-20,2007-01-26,Matara,4,5,0,1,0,1,5,0,NA,NA,NA,NA
Nothern,2007,4,2007-01-20,2007-01-26,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,4,2007-01-20,2007-01-26,Kilinochchi,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,4,2007-01-20,2007-01-26,Mannar,0,4,0,2,0,0,0,1,NA,NA,NA,NA
Nothern,2007,4,2007-01-20,2007-01-26,Vavuniya,2,2,0,1,1,0,0,0,NA,NA,NA,NA
Nothern,2007,4,2007-01-20,2007-01-26,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,4,2007-01-20,2007-01-26,Batticaloa,0,4,1,3,0,0,0,3,NA,NA,NA,NA
Eastern,2007,4,2007-01-20,2007-01-26,Ampara,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,4,2007-01-20,2007-01-26,Trincomalee,2,3,0,3,0,0,0,2,NA,NA,NA,NA
NorthWestern,2007,4,2007-01-20,2007-01-26,Kurunagala,6,1,0,5,0,0,3,0,NA,NA,NA,NA
NorthWestern,2007,4,2007-01-20,2007-01-26,Puttalam,8,2,0,0,0,0,0,0,NA,NA,NA,NA
NorthCentral,2007,4,2007-01-20,2007-01-26,Anuradhapura,2,1,0,0,0,0,1,0,NA,NA,NA,NA
NorthCentral,2007,4,2007-01-20,2007-01-26,Polonnaruwa,2,3,0,0,0,1,0,0,NA,NA,NA,NA
Uva,2007,4,2007-01-20,2007-01-26,Badulla,1,13,0,1,0,0,1,8,NA,NA,NA,NA
Uva,2007,4,2007-01-20,2007-01-26,Monaragala,3,6,0,2,0,0,1,0,NA,NA,NA,NA
Sabaragamuwa,2007,4,2007-01-20,2007-01-26,Ratnapura,2,5,0,3,0,1,0,1,NA,NA,NA,NA
Sabaragamuwa,2007,4,2007-01-20,2007-01-26,Kegalle,5,2,0,1,0,8,0,3,NA,NA,NA,NA
Eastern,2007,4,2007-01-20,2007-01-26,Kalmune,0,2,0,0,0,0,0,6,NA,NA,NA,NA
Western,2007,5,2007-01-27,2007-02-02,Colombo,69,7,0,4,0,5,0,1,NA,NA,NA,NA
Western,2007,5,2007-01-27,2007-02-02,Gampaha,12,1,0,2,0,2,0,1,NA,NA,NA,NA
Western,2007,5,2007-01-27,2007-02-02,Kalutara,12,7,0,0,3,3,0,0,NA,NA,NA,NA
Central,2007,5,2007-01-27,2007-02-02,Kandy,16,3,0,2,0,0,1,2,NA,NA,NA,NA
Central,2007,5,2007-01-27,2007-02-02,Matale,4,1,1,1,0,3,1,3,NA,NA,NA,NA
Central,2007,5,2007-01-27,2007-02-02,NuwaraEliya,1,2,0,1,0,0,2,7,NA,NA,NA,NA
Southern,2007,5,2007-01-27,2007-02-02,Galle,4,1,1,0,0,0,1,1,NA,NA,NA,NA
Southern,2007,5,2007-01-27,2007-02-02,Hambanthota,1,4,0,0,0,1,1,0,NA,NA,NA,NA
Southern,2007,5,2007-01-27,2007-02-02,Matara,6,1,0,1,1,2,5,2,NA,NA,NA,NA
Nothern,2007,5,2007-01-27,2007-02-02,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,5,2007-01-27,2007-02-02,Kilinochchi,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Nothern,2007,5,2007-01-27,2007-02-02,Mannar,0,0,0,13,0,0,0,0,NA,NA,NA,NA
Nothern,2007,5,2007-01-27,2007-02-02,Vavuniya,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Nothern,2007,5,2007-01-27,2007-02-02,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,5,2007-01-27,2007-02-02,Batticaloa,1,0,0,0,2,0,0,7,NA,NA,NA,NA
Eastern,2007,5,2007-01-27,2007-02-02,Ampara,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,5,2007-01-27,2007-02-02,Trincomalee,1,3,0,1,0,0,0,0,NA,NA,NA,NA
NorthWestern,2007,5,2007-01-27,2007-02-02,Kurunagala,6,2,0,1,0,0,2,0,NA,NA,NA,NA
NorthWestern,2007,5,2007-01-27,2007-02-02,Puttalam,2,1,0,3,0,1,0,1,NA,NA,NA,NA
NorthCentral,2007,5,2007-01-27,2007-02-02,Anuradhapura,2,2,0,0,0,1,0,3,NA,NA,NA,NA
NorthCentral,2007,5,2007-01-27,2007-02-02,Polonnaruwa,1,2,1,0,0,1,0,0,NA,NA,NA,NA
Uva,2007,5,2007-01-27,2007-02-02,Badulla,1,8,0,0,0,1,1,4,NA,NA,NA,NA
Uva,2007,5,2007-01-27,2007-02-02,Monaragala,0,3,0,0,0,0,1,0,NA,NA,NA,NA
Sabaragamuwa,2007,5,2007-01-27,2007-02-02,Ratnapura,3,2,0,0,1,1,0,2,NA,NA,NA,NA
Sabaragamuwa,2007,5,2007-01-27,2007-02-02,Kegalle,2,3,0,2,0,4,1,3,NA,NA,NA,NA
Eastern,2007,5,2007-01-27,2007-02-02,Kalmune,0,0,0,1,0,0,0,3,NA,NA,NA,NA
Western,2007,6,2007-02-03,2007-02-09,Colombo,36,3,0,4,0,5,0,2,NA,NA,NA,NA
Western,2007,6,2007-02-03,2007-02-09,Gampaha,19,7,0,0,0,2,0,2,NA,NA,NA,NA
Western,2007,6,2007-02-03,2007-02-09,Kalutara,8,4,0,1,0,1,0,2,NA,NA,NA,NA
Central,2007,6,2007-02-03,2007-02-09,Kandy,10,2,0,1,0,0,1,13,NA,NA,NA,NA
Central,2007,6,2007-02-03,2007-02-09,Matale,2,1,0,2,0,1,0,11,NA,NA,NA,NA
Central,2007,6,2007-02-03,2007-02-09,NuwaraEliya,0,4,0,2,0,0,2,7,NA,NA,NA,NA
Southern,2007,6,2007-02-03,2007-02-09,Galle,4,1,1,1,3,2,2,0,NA,NA,NA,NA
Southern,2007,6,2007-02-03,2007-02-09,Hambanthota,2,1,0,1,0,3,0,0,NA,NA,NA,NA
Southern,2007,6,2007-02-03,2007-02-09,Matara,2,11,0,0,0,0,9,0,NA,NA,NA,NA
Nothern,2007,6,2007-02-03,2007-02-09,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,6,2007-02-03,2007-02-09,Kilinochchi,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Nothern,2007,6,2007-02-03,2007-02-09,Mannar,1,0,0,5,0,0,0,1,NA,NA,NA,NA
Nothern,2007,6,2007-02-03,2007-02-09,Vavuniya,2,0,0,0,1,0,0,0,NA,NA,NA,NA
Nothern,2007,6,2007-02-03,2007-02-09,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,6,2007-02-03,2007-02-09,Batticaloa,0,3,0,1,0,0,0,7,NA,NA,NA,NA
Eastern,2007,6,2007-02-03,2007-02-09,Ampara,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,6,2007-02-03,2007-02-09,Trincomalee,1,2,0,1,0,0,0,0,NA,NA,NA,NA
NorthWestern,2007,6,2007-02-03,2007-02-09,Kurunagala,8,11,0,2,0,1,1,1,NA,NA,NA,NA
NorthWestern,2007,6,2007-02-03,2007-02-09,Puttalam,4,2,1,0,0,0,0,1,NA,NA,NA,NA
NorthCentral,2007,6,2007-02-03,2007-02-09,Anuradhapura,1,5,0,2,0,1,1,1,NA,NA,NA,NA
NorthCentral,2007,6,2007-02-03,2007-02-09,Polonnaruwa,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Uva,2007,6,2007-02-03,2007-02-09,Badulla,1,7,0,1,0,3,4,2,NA,NA,NA,NA
Uva,2007,6,2007-02-03,2007-02-09,Monaragala,0,5,0,2,0,1,4,2,NA,NA,NA,NA
Sabaragamuwa,2007,6,2007-02-03,2007-02-09,Ratnapura,4,7,0,2,2,1,0,2,NA,NA,NA,NA
Sabaragamuwa,2007,6,2007-02-03,2007-02-09,Kegalle,3,4,0,1,0,3,2,1,NA,NA,NA,NA
Eastern,2007,6,2007-02-03,2007-02-09,Kalmune,0,2,0,0,0,0,0,1,NA,NA,NA,NA
Western,2007,7,2007-02-10,2007-02-16,Colombo,42,2,0,1,0,2,0,0,NA,NA,NA,NA
Western,2007,7,2007-02-10,2007-02-16,Gampaha,5,4,1,3,0,2,1,3,NA,NA,NA,NA
Western,2007,7,2007-02-10,2007-02-16,Kalutara,3,2,0,0,0,1,0,1,NA,NA,NA,NA
Central,2007,7,2007-02-10,2007-02-16,Kandy,5,3,0,0,0,4,2,11,NA,NA,NA,NA
Central,2007,7,2007-02-10,2007-02-16,Matale,4,0,0,0,0,1,0,3,NA,NA,NA,NA
Central,2007,7,2007-02-10,2007-02-16,NuwaraEliya,0,1,0,3,0,1,0,4,NA,NA,NA,NA
Southern,2007,7,2007-02-10,2007-02-16,Galle,0,2,0,2,0,2,0,2,NA,NA,NA,NA
Southern,2007,7,2007-02-10,2007-02-16,Hambanthota,2,3,0,0,0,0,1,0,NA,NA,NA,NA
Southern,2007,7,2007-02-10,2007-02-16,Matara,2,3,1,4,0,3,8,1,NA,NA,NA,NA
Nothern,2007,7,2007-02-10,2007-02-16,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,7,2007-02-10,2007-02-16,Kilinochchi,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,7,2007-02-10,2007-02-16,Mannar,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Nothern,2007,7,2007-02-10,2007-02-16,Vavuniya,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,7,2007-02-10,2007-02-16,Mullaitivu,0,0,1,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,7,2007-02-10,2007-02-16,Batticaloa,0,3,0,0,0,0,0,9,NA,NA,NA,NA
Eastern,2007,7,2007-02-10,2007-02-16,Ampara,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,7,2007-02-10,2007-02-16,Trincomalee,0,1,0,1,0,0,0,1,NA,NA,NA,NA
NorthWestern,2007,7,2007-02-10,2007-02-16,Kurunagala,2,4,0,1,0,3,0,1,NA,NA,NA,NA
NorthWestern,2007,7,2007-02-10,2007-02-16,Puttalam,2,1,0,2,0,0,0,9,NA,NA,NA,NA
NorthCentral,2007,7,2007-02-10,2007-02-16,Anuradhapura,1,2,0,0,0,0,0,1,NA,NA,NA,NA
NorthCentral,2007,7,2007-02-10,2007-02-16,Polonnaruwa,2,3,0,0,0,2,0,2,NA,NA,NA,NA
Uva,2007,7,2007-02-10,2007-02-16,Badulla,1,10,0,6,4,2,3,4,NA,NA,NA,NA
Uva,2007,7,2007-02-10,2007-02-16,Monaragala,0,3,0,0,0,1,0,0,NA,NA,NA,NA
Sabaragamuwa,2007,7,2007-02-10,2007-02-16,Ratnapura,2,12,0,0,0,2,0,3,NA,NA,NA,NA
Sabaragamuwa,2007,7,2007-02-10,2007-02-16,Kegalle,2,1,0,0,0,0,2,0,NA,NA,NA,NA
Eastern,2007,7,2007-02-10,2007-02-16,Kalmune,0,2,0,0,0,0,0,6,NA,NA,NA,NA
Western,2007,8,2007-02-17,2007-02-23,Colombo,28,0,0,0,0,0,0,1,NA,NA,NA,NA
Western,2007,8,2007-02-17,2007-02-23,Gampaha,8,3,0,2,0,5,0,1,NA,NA,NA,NA
Western,2007,8,2007-02-17,2007-02-23,Kalutara,7,12,0,2,0,1,0,0,NA,NA,NA,NA
Central,2007,8,2007-02-17,2007-02-23,Kandy,5,1,0,3,0,5,1,4,NA,NA,NA,NA
Central,2007,8,2007-02-17,2007-02-23,Matale,0,9,0,0,0,1,0,2,NA,NA,NA,NA
Central,2007,8,2007-02-17,2007-02-23,NuwaraEliya,0,1,0,1,342,0,4,1,NA,NA,NA,NA
Southern,2007,8,2007-02-17,2007-02-23,Galle,4,2,0,0,0,2,1,0,NA,NA,NA,NA
Southern,2007,8,2007-02-17,2007-02-23,Hambanthota,1,2,0,1,0,3,1,1,NA,NA,NA,NA
Southern,2007,8,2007-02-17,2007-02-23,Matara,2,5,0,1,0,1,1,0,NA,NA,NA,NA
Nothern,2007,8,2007-02-17,2007-02-23,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,8,2007-02-17,2007-02-23,Kilinochchi,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,8,2007-02-17,2007-02-23,Mannar,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,8,2007-02-17,2007-02-23,Vavuniya,2,1,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,8,2007-02-17,2007-02-23,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,8,2007-02-17,2007-02-23,Batticaloa,1,9,0,1,0,0,0,21,NA,NA,NA,NA
Eastern,2007,8,2007-02-17,2007-02-23,Ampara,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2007,8,2007-02-17,2007-02-23,Trincomalee,1,3,0,1,0,0,0,1,NA,NA,NA,NA
NorthWestern,2007,8,2007-02-17,2007-02-23,Kurunagala,4,4,0,0,0,1,2,0,NA,NA,NA,NA
NorthWestern,2007,8,2007-02-17,2007-02-23,Puttalam,3,0,0,0,0,0,0,0,NA,NA,NA,NA
NorthCentral,2007,8,2007-02-17,2007-02-23,Anuradhapura,1,0,0,1,1,0,2,0,NA,NA,NA,NA
NorthCentral,2007,8,2007-02-17,2007-02-23,Polonnaruwa,1,0,0,0,0,0,0,0,NA,NA,NA,NA
Uva,2007,8,2007-02-17,2007-02-23,Badulla,0,7,0,0,3,0,1,7,NA,NA,NA,NA
Uva,2007,8,2007-02-17,2007-02-23,Monaragala,0,4,0,1,0,2,2,2,NA,NA,NA,NA
Sabaragamuwa,2007,8,2007-02-17,2007-02-23,Ratnapura,2,18,2,1,1,3,2,2,NA,NA,NA,NA
Sabaragamuwa,2007,8,2007-02-17,2007-02-23,Kegalle,2,1,0,1,0,0,1,0,NA,NA,NA,NA
Eastern,2007,8,2007-02-17,2007-02-23,Kalmune,0,3,0,0,0,0,0,6,NA,NA,NA,NA
Western,2007,9,2007-02-24,2007-03-02,Colombo,20,4,0,3,6,1,0,1,NA,NA,NA,NA
Western,2007,9,2007-02-24,2007-03-02,Gampaha,5,1,0,0,0,6,0,1,NA,NA,NA,NA
